DEPARTAMENTO;PROVINCIA;DISTRITO;NOMBRE;TIPO_AERODROMO;CODIGO_OACI;ESCALA;ESTADO;ADMINISTRADOR;JERARQUIA;TITULARIDAD;LATITUD;LONGITUD
APURÍMAC;ANDAHUAYLAS;ANDAHUAYLAS;ANDAHUAYLAS;Aeropuerto;SPHY;Nacional;Operativo;CORPAC S.A.;Nacional;Pública (Concesionada-No entregada);-13.708819;-73.351556
LORETO;DATEM DEL MARAÑÓN;ANDOAS;ANDOAS;Aeródromo;SPAS;Sin escala definida;Operativo;PACIFIC STRATUS ENERGY DEL PERÚ S.A.;Sin jerarquía definida;Privada;-2.796108;-76.466597
LORETO;DATEM DEL MARAÑÓN;ANDOAS;ANDOAS;Helipuerto;SPAN;Sin escala definida;Operativo;PACIFIC STRATUS ENERGY DEL PERÚ S.A.;Sin jerarquía definida;Privada;-2.796111;-76.466625
AREQUIPA;AREQUIPA;CAYMA;AREQUIPA - INTERNACIONAL ALFREDO RODRÍGUEZ BALLON;Aeropuerto Internacional;SPQU;Internacional;Operativo;AEROPUERTOS ANDINOS DEL PERÚ S.A.;Nacional;Pública (Concesionada);-16.340611;-71.570792
UCAYALI;ATALAYA;RAYMONDI;ATALAYA;Aeródromo;SPAY;Regional;Operativo;CORPAC S.A.;Regional;Pública;-10.728572;-73.765886
AYACUCHO;HUAMANGA;ANDRÉS AVELINO CÁCERES;AYACUCHO - CRNL. FAP ALFREDO MENDIVIL;Aeropuerto;SPHO;Nacional;Operativo;AEROPUERTOS ANDINOS DEL PERÚ S.A.;Nacional;Pública (Concesionada);-13.15483611;-74.20441667
LORETO;ALTO AMAZONAS;JEBEROS;BELLAVISTA;Aeródromo;SPBS;Local;Operativo;COMUNIDAD DE BELLAVISTA;Sin jerarquía definida;Pública;-5.283333;-76.383333
LORETO;REQUENA;PIUINAHUA;BRETAÑA 1;Helipuerto;;Local;Operativo;PETROTAL PERÚ S.R.L.;Sin jerarquía definida;Privada;-5.245689718;-74.32895779
UCAYALI;ATALAYA;YURUA;BREU;Aeródromo;SPBK;Local;Operativo;CORPAC S.A.;Local;Pública;-9.533792;-72.757153
LORETO;REQUENA;TAPICHE;BUNCUYO;Aeródromo;SPBJ;Local;Operativo;COMUNIDAD DE BUNCUYO;Sin jerarquía definida;Pública;-6.516667;-74.583333
LORETO;RAMÓN CASTILLA;RAMÓN CASTILLA;CABALLOCOCHA;Aeródromo;SPBC;Regional;Operativo;CORPAC S.A.;Regional;Pública;-3.916833;-70.508181
CAJAMARCA;CAJAMARCA;BAÑOS DEL INCA;CAJAMARCA - MAY.GRAL.FAP ARMANDO REVOREDO IGLESIAS;Aeropuerto;SPJR;Nacional;Operativo;AEROPUERTOS DEL PERÚ S.A.;Nacional;Pública (Concesionada);-7.139144;-78.489581
CUSCO;LA CONVENCIÓN;ECHARATE;CASHIRIARI 3;Helipuerto;SPCS;Sin escala definida;Operativo;PLUSPETROL PERÚ CORPORATION S.A.;Sin jerarquía definida;Privada;-11.88030278;-72.64921111
AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;CHACHAPOYAS;Aeropuerto;SPPY;Nacional;Operativo;AEROPUERTOS DEL PERÚ S.A.;Nacional;Pública (Concesionada);-6.202042;-77.856
LA LIBERTAD;PATAZ;PATAZ;CHAGUAL;Aeródromo;SPGL;Sin escala definida;Operativo;CIA. MINERA PODEROSA S.A.;Sin jerarquía definida;Privada;-7.797417;-77.651431
AREQUIPA;CARAVELI;CHALA;AERO LINK CHALA;Aeródromo;SPAK;Sin escala definida;Operativo;AERO LINK S.A.C.;Sin jerarquía definida;Privada;-15.80724722;-74.28691944
LA LIBERTAD;VIRU;CHAO;CHAO;Aeródromo;;Sin escala definida;Operativo;CAMPOSOL S.A.;Sin jerarquía definida;Privada;-8.581667;-78.681111
LAMBAYEQUE;CHICLAYO;CHICLAYO;CHICLAYO - INTERNACIONAL CAP. FAP JOSÉ ABELARDO QUIÑONES GONZALES;Aeropuerto Internacional;SPHI;Internacional;Operativo;AEROPUERTOS DEL PERÚ S.A.;Nacional;Pública (Concesionada);-6.787478;-79.8281
ÁNCASH;SANTA;NUEVO CHIMBOTE;CHIMBOTE - TNTE.FAP JAIME A. DE MONTREUIL MORALES;Aeropuerto;SPEO;Regional;Operativo;CORPAC S.A.;Nacional;Pública;-9.149711;-78.523564
AMAZONAS;CONDORCANQUI;NIEVA;CIRO ALEGRÍA;Aeródromo;SPAC;Regional;Operativo;CORPAC S.A.;Regional;Pública;-4.607144;-77.940633
PASCO;OXAPAMPA;PUERTO BERMÚDEZ;CIUDAD CONSTITUCIÓN;Aeródromo;SPCC;Local;Operativo;MUNICIPALIDAD DISTRITAL DE PUERTO BERMUDEZ;Local;Pública;-9.863958;-75.006736
LORETO;REQUENA;YAQUERANA;COLONIA ANGAMOS;Aeródromo;SPDN;Local;Operativo;MUNICIPALIDAD DISTRITAL DE YAQUERANA;Local;Pública;-5.137125;-72.867889
LORETO;UCAYALI;CONTAMANA;CONTAMANA;Aeródromo;SPCM;Local;Operativo;GOBIERNO REGIONAL DE LORETO;Local;Pública;-7.335806;-74.992556
UCAYALI;PURÚS;PURÚS;CULINA;Aeródromo;SPUI;Sin escala definida;Operativo;COMUNIDAD DE CULINA;Sin jerarquía definida;Privada;-9.584486;-70.617764
CUSCO;CUSCO;SAN SEBASTIÁN;CUSCO - INTERNACIONAL TNTE. FAP ALEJANDRO VELASCO ASTETE;Aeropuerto Internacional;SPZO;Internacional;Operativo;CORPAC S.A.;Nacional;Pública;-13.535722;-71.938778
JUNÍN;SATIPO;RÍO TAMBO;CUTIVIRENI;Aeródromo;SPCV;Local;Operativo;COMUNIDAD NATIVA DE CUTIVIRENI;Sin jerarquía definida;Pública;-11.877167;-73.916958
LORETO;PUTUMAYO;PUTUMAYO;EL ESTRECHO;Aeródromo;SPEE;Regional;Operativo;CORPAC S.A.;Regional;Pública;-2.453886403;-72.67083132
AMAZONAS;UTCUBAMBA;EL MILAGRO;EL VALOR - ESTACIÓN 7;Helipuerto;SPEV;Sin escala definida;Operativo;PETRÓLEOS DEL PERÚ - PETROPERU S.A.;Sin jerarquía definida;Privada;-5.670944;-78.640278
LORETO;DATEM DEL MARAÑÓN;MORONA;FERNANDO ROSAS - ESTACIÓN MORONA;Helipuerto;SPMO;Sin escala definida;Operativo;PETRÓLEOS DEL PERÚ - PETROPERU S.A.;Sin jerarquía definida;Privada;-3.983189;-77.227806
LORETO;PUTUMAYO;TENIENTE MANUEL CLAVERO;GÜEPPI;Aeródromo;SPGP;Regional;Operativo;CORPAC S.A.;Regional;Pública;-0.119306;-75.247847
AMAZONAS;CONDORCANQUI;RÍO SANTIAGO;GALILEA;Aeródromo;SPGB;Regional;Operativo;CORPAC S.A.;Regional;Pública;-4.031715731;-77.75876639
SAN MARTÍN;SAN MARTÍN;TARAPOTO;HELINKA;Helipuerto;SPIK;Sin escala definida;Operativo;HELINKA S.A.C.;Sin jerarquía definida;Privada;-6.515416667;-76.37497222
LIMA;LIMA;SAN ISIDRO;HOTEL LOS DELFINES;Helipuerto;SPKD;Sin escala definida;Operativo;CIA. HOTELERA LOS DELFINES S.A.;Sin jerarquía definida;Privada;-12.097833;-77.047833
LIMA;LIMA;SAN ISIDRO;HOTEL ORO VERDE;Helipuerto;SPKO;Sin escala definida;Operativo;HOTELERA COSTA DEL PACIFICO S.A.;Sin jerarquía definida;Privada;-12.0975;-77.038056
LA LIBERTAD;SÁNCHEZ CARRIÓN;HUAMACHUCO;HUAMACHUCO;Aeródromo;SPUC;Local;Operativo;MUNICIPALIDAD PROVINCIAL DE SÁNCHEZ CARRIÓN;Local;Pública;-7.818022;-78.029206
PIURA;HUANCABAMBA;HUANCABAMBA;HUANCABAMBA;Aeródromo;;Regional;Operativo;MUNICIPALIDAD PROVINCIAL DE HUANCABAMBA;Local;Pública;-5.256608333;-79.44335556
HUÁNUCO;HUÁNUCO;HUÁNUCO;HUÁNUCO - ALF. FAP DAVID FIGUEROA FERNANDINI;Aeropuerto;SPNC;Nacional;Operativo;CORPAC S.A.;Nacional;Pública;-9.878681;-76.204569
ÁNCASH;CARHUAZ;ANTA;HUASCARÁN (ANTA - HUARAZ);Aeropuerto;SPHZ;Nacional;Operativo;AEROPUERTOS DEL PERÚ S.A.;Nacional;Pública (Concesionada);-9.347333;-77.598308
MADRE DE DIOS;TAHUAMANU;IÑAPARI;IÑAPARI;Aeródromo;SPIN;Regional;Operativo;CORPAC S.A.;Regional;Pública;-10.980183;-69.559217
MOQUEGUA;ILO;ILO;ILO;Aeropuerto;SPLO;Regional;Operativo;CORPAC S.A.;Nacional;Pública;-17.695028;-71.343931
LIMA;LIMA;LA VICTORIA;INTERBANK;Helipuerto;SPKE;Sin escala definida;Operativo;PROMOTORA INTERCORP S.A.;Sin jerarquía definida;Privada;-12.089472;-77.022778
LORETO;MAYNAS;SAN JUAN BAUTISTA;IQUITOS - INTERNACIONAL CRNL. FAP FRANCISCO SECADA VIGNETTA;Aeropuerto Internacional;SPQT;Internacional;Operativo;AEROPUERTOS DEL PERÚ S.A.;Nacional;Pública (Concesionada);-3.784739;-73.308806
CAJAMARCA;JAÉN;BELLAVISTA;JAÉN;Aeropuerto;SPJE;Nacional;Operativo;CORPAC S.A.;Nacional;Pública;-5.592611;-78.774264
JUNÍN;JAUJA;SAUSA;JAUJA;Aeropuerto;SPJJ;Nacional;Operativo;CORPAC S.A.;Nacional;Pública;-11.783389;-75.473347
LORETO;LORETO;TROMPETEROS;JIBARO MARSHALLING;Helipuerto;SPJM;Sin escala definida;Operativo;PACIFIC STRATUS ENERGY DEL PERÚ S.A.;Sin jerarquía definida;Privada;-2.706139;-76.028556
LIMA;CALLAO;CALLAO;INTERNACIONAL JORGE CHÁVEZ;Aeropuerto Internacional;SPJC;Internacional;Operativo;LIMA AIRPORT PARTNERS S.R.L.;Nacional;Pública (Concesionada);-12.021886;-77.114317
SAN MARTÍN;MARISCAL CÁCERES;JUANJUI;JUANJUI;Aeropuerto;SPJI;Regional;Operativo;CORPAC S.A.;Regional;Pública;-7.168875;-76.728581
PUNO;SAN ROMÁN;JULIACA;JULIACA - INTERNACIONAL INCA MANCO CAPAC;Aeropuerto Internacional;SPJL;Internacional;Operativo;AEROPUERTOS ANDINOS DEL PERÚ S.A.;Nacional;Pública (Concesionada);-15.466856;-70.157883
CUSCO;LA CONVENCIÓN;ECHARATE;KINTERONI;Helipuerto;SPKR;Sin escala definida;Operativo;REPSOL EXPLORACIÓN PERÚ S.A. SUCURSAL DEL PERÚ;Sin jerarquía definida;Privada;-11.509667;-73.2515
CUSCO;LA CONVENCIÓN;ECHARATE;KITENI;Aeródromo;SPKI;Sin escala definida;Operativo;CÍA. OPERADORA DE GAS DEL AMAZONAS S.A.C.;Sin jerarquía definida;Privada;-12.648633;-73.036597
CUSCO;LA CONVENCIÓN;ECHARATE;LA PERUANITA N° 1;Helipuerto;SPPU;Sin escala definida;Operativo;CNPC PERU S.A.;Sin jerarquía definida;Privada;-11.69013889;-73.02194444
CUSCO;LA CONVENCIÓN;ECHARATE;LA PERUANITA N° 2;Helipuerto;SPPV;Sin escala definida;Operativo;CNPC PERU S.A.;Sin jerarquía definida;Privada;-11.689972;-73.021167
CUSCO;LA CONVENCIÓN;ECHARATE;LA PERUANITA N° 3;Helipuerto;SPPW;Sin escala definida;Operativo;CNPC PERU S.A.;Sin jerarquía definida;Privada;-11.69108333;-73.02347222
LORETO;DATEM DEL MARAÑÓN;MANSERICHE;LA VISTA - ESTACIÓN 5;Helipuerto;SPVS;Sin escala definida;Operativo;PETRÓLEOS DEL PERÚ - PETROPERU S.A.;Sin jerarquía definida;Privada;-4.654417;-77.506361
APURÍMAC;COTABAMBA;CHALLHUAHUACHO;LAS BAMBAS;Helipuerto;SPLB;Sin escala definida;Operativo;MINERA LAS BAMBAS S.A.;Sin jerarquía definida;Privada;-14.10288333;-72.27625
ICA;ICA;SUBTANJALLA;LAS DUNAS;Aeródromo;SPLH;Sin escala definida;Operativo;EMPRESA ADMINISTRADORA DEL AERÓDROMO LAS DUNAS DE ICA S.A.C.;Sin jerarquía definida;Privada;-14.03518056;-75.76028333
CUSCO;LA CONVENCIÓN;ECHARATE;LAS MALVINAS;Aeródromo;SPWT;Sin escala definida;Operativo;PLUSPETROL PERÚ CORPORATION S.A.;Sin jerarquía definida;Privada;-11.85494444;-72.93934167
CUSCO;LA CONVENCIÓN;ECHARATE;LAS MALVINAS;Helipuerto;SPHM;Sin escala definida;Operativo;PLUSPETROL PERÚ CORPORATION S.A.;Sin jerarquía definida;Privada;-11.85341944;-72.94184167
LIMA;LIMA;SANTIAGO DE SURCO;LAS PALMAS;Aeródromo;SPLP;Sin escala definida;Operativo;BASE AÉREA LAS PALMAS;Sin jerarquía definida;Pública;-12.160125;-76.998778
LIMA;CAÑETE;CHILCA;LIB MANDI METROPOLITANO;Aeródromo;SPLX;Sin escala definida;Operativo;MASTER BUSINESS AVIATION S.A.C.;Sin jerarquía definida;Privada;-12.389;-76.75809444
JUNÍN;SATIPO;RÍO TAMBO;MAPI;Helipuerto;SPMP;Sin escala definida;Operativo;REPSOL EXPLORACIÓN PERÚ S.A. SUCURSAL DEL PERÚ;Sin jerarquía definida;Privada;-11.432144;-73.573103
ICA;NASCA;EL INGENIO;MARIA REICHE;Helipuerto;SPMA;Sin escala definida;Operativo;EMPRESA ADMINISTRADORA DEL AERODROMO LAS DUNAS DE ICA S.A.C.;Sin jerarquía definida;Privada;-14.681833;-75.134194
JUNÍN;SATIPO;RÍO TAMBO;MASHIRA;Helipuerto;SPMH;Sin escala definida;Operativo;REPSOL EXPLORACIÓN PERÚ S.A. SUCURSAL DEL PERÚ;Sin jerarquía definida;Privada;-11.381528;-73.504972
JUNÍN;SATIPO;MAZAMARI;MAZAMARI - MAY. PNP NANCY FLORES PAUCAR;Aeródromo;SPMF;Regional;Operativo;CORPAC S.A.;Regional;Pública;-11.325517;-74.535828
CUSCO;LA CONVENCIÓN;ECHARATE;MIPAYA;Helipuerto;SPPM;Sin escala definida;Operativo;PLUSPETROL PERÚ CORPORATION S.A.;Sin jerarquía definida;Privada;-11.57952778;-73.16613889
AREQUIPA;ISLAY;MOLLENDO;MOLLENDO;Aeródromo;SPDO;Local;Operativo;MUNICIPALIDAD PROVINCIAL DE ISLAY;Local;Pública;-17.04411667;-71.984575
MOQUEGUA;MARISCAL NIETO;MOQUEGUA;MOQUEGUA;Aeródromo;;Sin escala definida;Operativo;CORPAC S.A.;Sin jerarquía definida;Pública;-17.18;-70.93147222
ICA;NASCA;VISTA ALEGRE;NASCA - MARIA REICHE NEUMAN;Aeródromo;SPZA;Local;Operativo;CORPAC S.A.;Local;Pública;-14.854139;-74.961775
CUSCO;LA CONVENCIÓN;ECHARATE;NUEVO MUNDO;Aeródromo;SPNM;Sin escala definida;Operativo;REPSOL EXPLORACIÓN PERÚ S.A. SUCURSAL DEL PERÚ;Sin jerarquía definida;Privada;-11.54235833;-73.14234444
AREQUIPA;CASTILLA;ORCOPAMPA;ORCOPAMPA;Aeródromo;SPOR;Sin escala definida;Operativo;COMPAÑÍA DE MINAS BUENAVENTURA S.A.A.;Sin jerarquía definida;Privada;-15.314889;-72.352
LORETO;UCAYALI;VARGAS GUERRA;ORELLANA;Aeródromo;SPON;Local;Operativo;MUNICIPALIDAD DISTRITAL DE VARGAS GUERRA;Local;Pública;-6.896414;-75.152586
CUSCO;LA CONVENCIÓN;ECHARATE;PAGORENI A;Helipuerto;SPPG;Sin escala definida;Operativo;PLUSPETROL PERÚ CORPORATION S.A.;Sin jerarquía definida;Privada;-11.717361;-72.901139
CUSCO;LA CONVENCIÓN;ECHARATE;PAGORENI B;Helipuerto;SPPI;Sin escala definida;Operativo;PLUSPETROL PERÚ CORPORATION S.A.;Sin jerarquía definida;Privada;-11.691861;-72.950611
UCAYALI;ATALAYA;YURUA;PAITITI;Aeródromo;SPPT;Local;Operativo;COMUNIDAD PAITITI;Sin jerarquía definida;Pública;-10.083333;-72.883333
AYACUCHO;LA MAR;SAMUGARI;PALMAPAMPA;Aeródromo;SPPE;Sin escala definida;Operativo;POLICÍA NACIONAL DEL PERÚ;Sin jerarquía definida;Pública;-12.729722;-73.669722
SAN MARTÍN;TOCACHE;UCHIZA;PALMAS DEL ESPINO;Aeródromo;SPPN;Sin escala definida;Operativo;PALMAS DEL ESPINO S.A.;Sin jerarquía definida;Privada;-8.343722;-76.489347
LORETO;UCAYALI;PAMPA HERMOSA;PAMPA HERMOSA;Aeródromo;SPPH;Local;Operativo;CORPAC S.A.;Local;Pública;-7.201069;-75.294042
LA LIBERTAD;SANTIAGO DE CHUCO;QUIRUVILCA;PATA DE GALLO;Aeródromo;SPGA;Sin escala definida;Operativo;MINERA BARRICK MISQUICHILCA S.A.;Sin jerarquía definida;Privada;-7.983917;-78.269833
CUSCO;PAUCARTAMBO;KOSÑIPATA;PATRIA;Aeródromo;SPIR;Local;Operativo;CORPAC S.A.;Local;Pública;-12.967303;-71.429122
LA LIBERTAD;PATAZ;PIAS;PÍAS;Aeródromo;SPIS;Sin escala definida;Operativo;CONSORCIO MINERO HORIZONTE S.A.;Sin jerarquía definida;Privada;-7.920222;-77.525389
LORETO;MAYNAS;NAPO;PIRAÑA;Helipuerto;SPHP;Sin escala definida;Operativo;PERENCO PERÚ PETROLEUM LIMITED SUCURSAL DEL PERÚ;Sin jerarquía definida;Privada;-1.913972222;-75.36744444
ICA;PISCO;SAN ANDRÉS;PISCO INTERNACIONAL;Aeropuerto Internacional;SPSO;Nacional;Operativo;AEROPUERTOS DEL PERÚ S.A.;Nacional;Pública (Concesionada);-13.7448;-76.220411
PIURA;PIURA;CASTILLA;PIURA - CAP.FAP GUILLERMO CONCHA IBERICO;Aeropuerto;SPUR;Nacional;Operativo;AEROPUERTOS DEL PERÚ S.A.;Nacional;Pública (Concesionada);-5.205764;-80.616389
CUSCO;LA CONVENCIÓN;ECHARATE;SAGARI BX;Helipuerto;SPZP;Sin escala definida;Operativo;REPSOL EXPLORACIÓN PERÚ S.A. SUCURSAL DEL PERÚ;Sin jerarquía definida;Privada;-11.430833;-73.355639
CUSCO;LA CONVENCIÓN;ECHARATE;PRIVADO N° 2;Helipuerto;SPNB;Sin escala definida;Operativo;REPSOL EXPLORACIÓN PERÚ S.A. SUCURSAL DEL PERÚ;Sin jerarquía definida;Privada;-11.55116667;-73.14286111
CUSCO;LA CONVENCIÓN;ECHARATE;PRIVADO N° 6;Helipuerto;SPNI;Sin escala definida;Operativo;REPSOL EXPLORACIÓN PERÚ S.A. SUCURSAL DEL PERÚ;Sin jerarquía definida;Privada;-11.54691667;-73.14166667
CUSCO;LA CONVENCIÓN;ECHARATE;PRIVADO N° 8;Helipuerto;SPNF;Sin escala definida;Operativo;REPSOL EXPLORACIÓN PERÚ S.A. SUCURSAL DEL PERÚ;Sin jerarquía definida;Privada;-11.55158333;-73.14736111
CUSCO;LA CONVENCIÓN;ECHARATE;PRIVADO N° 9;Helipuerto;SPNG;Sin escala definida;Operativo;REPSOL EXPLORACIÓN PERÚ S.A. SUCURSAL DEL PERÚ;Sin jerarquía definida;Privada;-11.55127778;-73.14763889
UCAYALI;CORONEL PORTILLO;CALLERIA;PUCALLPA - INTERNACIONAL CAP. FAP DAVID ARMANDO ABENSUR RENGIFO;Aeropuerto Internacional;SPCL;Internacional;Operativo;AEROPUERTOS DEL PERÚ S.A.;Nacional;Pública (Concesionada);-8.377942;-74.574297
HUÁNUCO;PUERTO INCA;CODO DEL POZUZO;PUEBLO LIBRE DE CODO;Aeródromo;SPDU;Local;Operativo;AGENCIA MUNICIPAL DE PUEBLO LIBRE DE CODO;Local;Pública;-9.6725;-75.28277778
UCAYALI;PURÚS;PURÚS;PUERTO ESPERANZA;Aeródromo;SPEP;Regional;Operativo;CORPAC S.A.;Regional;Pública;-9.770278;-70.709167
MADRE DE DIOS;TAMBOPATA;TAMBOPATA;PUERTO MALDONADO - PADRE ALDAMIZ;Aeropuerto;SPTU;Internacional;Operativo;AEROPUERTOS ANDINOS DEL PERÚ S.A.;Nacional;Pública (Concesionada);-12.613831;-69.228678
SAN MARTÍN;RIOJA;RIOJA;RIOJA - JUAN SIMONS VELA;Aeropuerto;SPJA;Regional;Operativo;CORPAC S.A.;Nacional;Pública;-6.067792;-77.159806
AMAZONAS;RODRIGUEZ DE MENDOZA;OSCAR R. BENAVIDES;RODRÍGUEZ DE MENDOZA;Aeropuerto;SPLN;Regional;Operativo;CORPAC S.A.;Regional;Pública;-6.392617;-77.500589
LORETO;LORETO;URARINAS;SAN JOSÉ DE SARAMURO - ESTACIÓN 1;Helipuerto;SPSM;Sin escala definida;Operativo;PETRÓLEOS DEL PERÚ - PETROPERU S.A.;Sin jerarquía definida;Privada;-4.721556;-74.922444
LORETO;DATEM DEL MARAÑÓN;BARRANCA;SAN LORENZO;Aeródromo;SPQM;Local;Operativo;MUNICIPALIDAD PROVINCIAL DE DATEM DEL MARAÑÓN;Local;Pública;-4.82425;-76.560347
CUSCO;LA CONVENCIÓN;ECHARATE;SAN MARTÍN 1;Helipuerto;SPMT;Sin escala definida;Operativo;PLUSPETROL PERÚ CORPORATION S.A.;Sin jerarquía definida;Privada;-11.76754444;-72.77806111
CUSCO;LA CONVENCIÓN;ECHARATE;SAN MARTÍN 3;Helipuerto;SPPS;Sin escala definida;Operativo;PLUSPETROL PERÚ CORPORATION S.A.;Sin jerarquía definida;Privada;-11.785528;-72.702139
PUNO;MELGAR;ANTAUTA;SAN RAFAEL;Aeródromo;SPRF;Sin escala definida;Operativo;COMPAÑÍA MINSUR S.A.;Sin jerarquía definida;Privada;-14.282194;-70.379694
SAN MARTÍN;HUALLAGA;SAPOSOA;SAPOSOA;Aeródromo;SPOA;Local;Operativo;CORPAC S.A.;Regional;Pública;-6.959083;-76.768583
LORETO;DATEM DEL MARAÑÓN;MORONA;SARGENTO PUÑO;Helipuerto;SPSP;Sin escala definida;Operativo;PETRÓLEOS DEL PERÚ - PETROPERU S.A.;Sin jerarquía definida;Privada;-3.220889;-77.603389
AREQUIPA;LA UNIÓN;SAYLA;SAYLA;Helipuerto;SPKY;Sin escala definida;Operativo;MUNICIPALIDAD DISTRITAL DE SAYLA;Local;Pública;-15.322778;-73.2375
UCAYALI;ATALAYA;SEPAHUA;SEPAHUA;Aeródromo;SPSE;Local;Operativo;MUNICIPALIDAD DISTRITAL DE SEPAHUA;Local;Pública;-11.142083;-73.034167
LORETO;ALTO AMAZONAS;YURIMAGUAS;SHANUSI;Aeródromo;SPSH;Sin escala definida;Operativo;PALMAS DEL SHANUSI S.A.;Sin jerarquía definida;Privada;-6.128694;-76.169583
TACNA;TACNA;TACNA;TACNA - INTERNACIONAL CRNL. FAP CARLOS CIRIANI SANTA ROSA;Aeropuerto Internacional;SPTN;Internacional;Operativo;AEROPUERTOS ANDINOS DEL PERÚ S.A.;Nacional;Pública (Concesionada);-18.053286;-70.275822
PIURA;TALARA;PARIÑAS;TALARA - INTERNACIONAL CAP.FAP VICTOR MONTES ARIAS;Aeropuerto Internacional;SPYL;Internacional;Operativo;AEROPUERTOS DEL PERÚ S.A.;Nacional;Pública (Concesionada);-4.576611111;-81.25405833
SAN MARTÍN;SAN MARTÍN;TARAPOTO;TARAPOTO - CADETE FAP GUILLERMO DEL CASTILLO PAREDES;Aeropuerto;SPST;Nacional;Operativo;AEROPUERTOS DEL PERÚ S.A.;Nacional;Pública (Concesionada);-6.508744;-76.373247
HUÁNUCO;LEONCIO PRADO;RUPA RUPA;TINGO MARÍA;Aeropuerto;SPGM;Regional;Operativo;CORPAC S.A.;Nacional;Pública;-9.289375;-76.005042
SAN MARTÍN;TOCACHE;TOCACHE;TOCACHE;Aeródromo;SPCH;Regional;Operativo;CORPAC S.A.;Regional;Pública;-8.195431;-76.528667
LORETO;LORETO;TROMPETEROS;TROMPETEROS (CORRIENTES);Aeródromo;SPDR;Sin escala definida;Operativo;PLUSPETROL NORTE S.A.;Sin jerarquía definida;Privada;-3.8055;-75.039903
LORETO;LORETO;TROMPETEROS;TROMPETEROS;Helipuerto;SPDT;Sin escala definida;Operativo;PLUSPETROL NORTE S.A.;Sin jerarquía definida;Privada;-3.807;-75.056167
LA LIBERTAD;TRUJILLO;HUANCHACO;TRUJILLO - INTERNACIONAL CAP. CARLOS MARTINEZ DE PINILLOS;Aeropuerto Internacional;SPRU;Internacional;Operativo;AEROPUERTOS DEL PERÚ S.A.;Nacional;Pública (Concesionada);-8.081708;-79.108644
