DEPARTAMENTO;PROVINCIA;DISTRITO;NOMBRE;TIPO_AERODROMO;CODIGO_OACI;ESCALA;ESTADO;ADMINISTRADOR;JERARQUIA;TITULARIDAD;LATITUD;LONGITUD
Lima;Lima;La Victoria;Interbank;Helipuerto Elevado;SPKE;Información no disponible;Operativo;Promotora Intercorp S.A.;No aplica privados;Privada;-12.089472;-77.022778
Loreto;Maynas;San Juan Bautista;Crnl. FAP. Francisco Secada Vignetta;Aeropuerto Internacional;SPQT;Internacional;Operativo;Aeropuertos del Perú S.A.;Nacional;Pública (Concesionada);-3.784739;-73.308806
Cajamarca;Jaén;Bellavista;Fernando Belaunde Terry;Aeropuerto;SPJE;Nacional;Operativo;CORPAC S.A.;Nacional;Pública;-5.592611;-78.774264
Junín;Jauja;Sausa;Francisco Carlé;Aeropuerto;SPJJ;Nacional;Operativo;CORPAC S.A.;Nacional;Pública;-11.783389;-75.473347
Loreto;Loreto;Trompeteros;Jibaro Marshalling;Helipuerto de superficie;SPJM;Información no disponible;Operativo;Pacific Stratus Energy del Perú S.A.;No aplica privados;Privada;-2.706139;-76.028556
Lima;Callao;Callao;Jorge Chávez;Aeropuerto Internacional;SPJC;Internacional;Operativo;Lima Airport Partners S.R.L.;Nacional;Pública (Concesionada);-12.021886;-77.114317
San Martín;Mariscal Cáceres;Juanjui;Juanjui;Aeropuerto;SPJI;Regional;Operativo;CORPAC S.A.;Regional;Pública;-7.168875;-76.728581
Puno;San Román;Juliaca;Inca Manco Capac;Aeropuerto Internacional;SPJL;Internacional;Operativo;Aeropuertos Andinos del Perú S.A.;Nacional;Pública (Concesionada);-15.466856;-70.157883
Cusco;La Convención;Echarate;Kinteroni;Helipuerto de superficie;SPKR;Información no disponible;Operativo;Repsol Exploración Perú S.A. Sucursal del Perú;No aplica privados;Privada;-11.509667;-73.2515
Cusco;La Convención;Echarate;Kiteni;Aeródromo;SPKI;Información no disponible;Operativo;Cía. Operadora de Gas del Amazonas S.A.C.;No aplica privados;Privada;-12.648633;-73.036597
Cusco;La Convención;Echarate;La Peruanita N°1;Helipuerto de superficie;SPPU;Información no disponible;Operativo;CNPC PERU S.A.;No aplica privados;Privada;-11.69013889;-73.02194444
Cusco;La Convención;Echarate;La Peruanita N°2;Helipuerto de superficie;SPPV;Información no disponible;Operativo;CNPC PERU S.A.;No aplica privados;Privada;-11.689972;-73.021167
Cusco;La Convención;Echarate;La Peruanita N°3;Helipuerto de superficie;SPPW;Información no disponible;Operativo;CNPC PERU S.A.;No aplica privados;Privada;-11.69108333;-73.02347222
Loreto;Datem Del Marañón;Manseriche;La Vista - Estación 5;Helipuerto de superficie;SPVS;Información no disponible;Operativo;Petróleos del Perú - Petroperu S.A.;No aplica privados;Privada;-4.654417;-77.506361
Apurímac;Cotabamba;Challhuahuacho;Las Bambas;Helipuerto de superficie;SPLB;Información no disponible;Operativo;Minera Las Bambas S.A.;No aplica privados;Privada;-14.10288333;-72.27625
Ica;Ica;Subtanjalla;Las Dunas;Aeródromo;SPLH;Información no disponible;Operativo;Empresa Administradora del Aeródromo Las Dunas de Ica S.A.C.;No aplica privados;Privada;-14.03518056;-75.76028333
Cusco;La Convención;Echarate;Las Malvinas;Aeródromo;SPWT;Información no disponible;Operativo;Pluspetrol Perú Corporation S.A.;No aplica privados;Privada;-11.85494444;-72.93934167
Cusco;La Convención;Echarate;Las Malvinas;Helipuerto de superficie;SPHM;Información no disponible;Operativo;Pluspetrol Perú Corporation S.A.;No aplica privados;Privada;-11.85341944;-72.94184167
Lima;Lima;Santiago de Surco;Las Palmas;Aeródromo;SPLP;Información no disponible;Operativo;Base Aérea Las Palmas;No aplica privados;Pública;-12.160125;-76.998778
Lima;Cañete;Chilca;Lib Mandi Metropolitano;Aeródromo;SPLX;Información no disponible;Operativo;Master Business Aviation S.A.C.;No aplica privados;Privada;-12.389;-76.75809444
Junín;Satipo;Río Tambo;Mapi;Helipuerto de superficie;SPMP;Información no disponible;Operativo;Repsol Exploración Perú S.A. Sucursal del Perú;No aplica privados;Privada;-11.432144;-73.573103
Ica;Nasca;El Ingenio;Maria Reiche;Helipuerto de superficie;SPMA;Información no disponible;Operativo;Helinka S.A.C.;No aplica privados;Privada;-14.681833;-75.134194
Junín;Satipo;Rio Tambo;Mashira;Helipuerto de superficie;SPMH;Información no disponible;Operativo;Repsol Exploración Perú S.A. Sucursal del Perú;No aplica privados;Privada;-11.381528;-73.504972
Junín;Satipo;Mazamari;May. PNP. Nancy Flores Paucar;Aeródromo;SPMF;Regional;Operativo;CORPAC S.A.;Regional;Pública;-11.325517;-74.535828
Cusco;La Convención;Echarate;Mipaya;Helipuerto de superficie;SPPM;Información no disponible;Operativo;Pluspetrol Perú Corporation S.A.;No aplica privados;Privada;-11.57952778;-73.16613889
Arequipa;Islay;Mollendo;Mollendo;Aeródromo;SPDO;Local;Operativo;Municipalidad Provincial de Islay;Local;Pública;-17.04411667;-71.984575
Moquegua;Moquegua;Mariscal Nieto;Moquegua;Aeródromo;SPEQ;Información no disponible;Operativo;CORPAC S.A.;Sin jerarquía;Pública;-17.18;-70.93147222
Ica;Nasca;Vista Alegre;Maria Reiche Neuman;Aeródromo;SPZA;Local;Operativo;CORPAC S.A.;Local;Pública;-14.854139;-74.961775
Cusco;La Convención;Echarate;Nuevo Mundo;Aeródromo;SPNM;Información no disponible;Operativo;Repsol Exploración Perú S.A. Sucursal del Perú;No aplica privados;Privada;-11.54235833;-73.14234444
Arequipa;Castilla;Orcopampa;Orcopampa;Aeródromo;SPOR;Información no disponible;Operativo;Compañía de Minas Buenaventura S.A.A.;No aplica privados;Privada;-15.314889;-72.352
Loreto;Ucayali;Vargas Guerra;Orellana;Aeródromo;SPON;Local;Operativo;Municipalidad Distrital de Vargas Guerra;Local;Pública;-6.896414;-75.152586
Cusco;La Convención;Echarate;Pagoreni A;Helipuerto de superficie;SPPG;Información no disponible;Operativo;Pluspetrol Perú Corporation S.A.;No aplica privados;Privada;-11.717361;-72.901139
Cusco;La Convención;Echarate;Pagoreni B;Helipuerto de superficie;SPPI;Información no disponible;Operativo;Pluspetrol Perú Corporation S.A.;No aplica privados;Privada;-11.691861;-72.950611
Ucayali;Atalaya;Yurua;Paititi;Aeródromo;SPPT;Local;Operativo;Comunidad Paititi;Sin jerarquía;Pública;-10.083333;-72.883333
Ayacucho;La Mar;Samugari;Palmapampa;Aeródromo;SPPE;Información no disponible;Operativo;Policía Nacional del Perú;Sin jerarquía;Pública;-12.7641433;-73.6533141
San Martín;Tocache;Uchiza;Palmas del Espino;Aeródromo;SPPN;Información no disponible;Operativo;Palmas del Espino S.A.;No aplica privados;Privada;-8.343722;-76.489347
Loreto;Ucayali;Pampa Hermosa;Pampa Hermosa;Aeródromo;SPPH;Local;Operativo;CORPAC S.A.;Local;Pública;-7.201069;-75.294042
La Libertad;Santiago De Chuco;Quiruvilca;Pata de Gallo;Aeródromo;SPGA;Información no disponible;Operativo;Minera Barrick Misquichilca S.A.;No aplica privados;Privada;-7.983917;-78.269833
Cusco;Paucartambo;Kosñipata;Patria;Aeródromo;SPIR;Local;Operativo;CORPAC S.A.;Local;Pública;-12.967303;-71.429122
La Libertad;Pataz;Pias;Pías;Aeródromo;SPIS;Información no disponible;Operativo;Consorcio Minero Horizonte S.A.;No aplica privados;Privada;-7.920222;-77.525389
Loreto;Maynas;Napo;Piraña;Helipuerto de superficie;SPHP;Información no disponible;Operativo;Perenco Perú Petroleum Limited Sucursal del Perú;No aplica privados;Privada;-1.913972222;-75.36744444
Ica;Pisco;San Andrés;Pisco;Aeropuerto Internacional;SPSO;Internacional;Operativo;Aeropuertos del Perú S.A.;Nacional;Pública (Concesionada);-13.7448;-76.220411
Piura;Piura;Castilla;Cap. FAP. Guillermo Concha Iberico;Aeropuerto;SPUR;Nacional;Operativo;Aeropuertos del Perú S.A.;Nacional;Pública (Concesionada);-5.205764;-80.616389
Cusco;La Convención;Echarate;Sagari Bx;Helipuerto de superficie;SPZP;Información no disponible;Operativo;Repsol Exploración Perú S.A. Sucursal del Perú;No aplica privados;Privada;-11.43080556;-73.35572222
Cusco;La Convención;Echarate;Privado N°2;Helipuerto de superficie;SPNB;Información no disponible;Operativo;Repsol Exploración Perú S.A. Sucursal del Perú;No aplica privados;Privada;-11.55116667;-73.14286111
Cusco;La Convención;Echarate;Privado N°6;Helipuerto de superficie;SPNI;Información no disponible;Operativo;Repsol Exploración Perú S.A. Sucursal del Perú;No aplica privados;Privada;-11.54691667;-73.14166667
Cusco;La Convención;Echarate;Privado N°8;Helipuerto de superficie;SPNF;Información no disponible;Operativo;Repsol Exploración Perú S.A. Sucursal del Perú;No aplica privados;Privada;-11.55158333;-73.14736111
Cusco;La Convención;Echarate;Privado N°9;Helipuerto de superficie;SPNG;Información no disponible;Operativo;Repsol Exploración Perú S.A. Sucursal del Perú;No aplica privados;Privada;-11.55127778;-73.14763889
Ucayali;Coronel Portillo;Calleria;Cap. FAP. David Armando Abensur Rengifo;Aeropuerto Internacional;SPCL;Internacional;Operativo;Aeropuertos del Perú S.A.;Nacional;Pública (Concesionada);-8.377942;-74.574297
Huánuco;Puerto Inca;Codo del Pozuzo;Pueblo Libre de Codo;Aeródromo;SPDU;Local;Operativo;Agencia Municipal de Pueblo Libre de Codo;Local;Pública;-9.6725;-75.28277778
Ucayali;Purús;Purús;Puerto Esperanza;Aeródromo;SPEP;Regional;Operativo;CORPAC S.A.;Regional;Pública;-9.770278;-70.709167
Madre De Dios;Tambopata;Tambopata;Padre Aldamiz;Aeropuerto;SPTU;Información no disponible;Operativo;Aeropuertos Andinos del Perú S.A.;Nacional;Pública (Concesionada);-12.613831;-69.228678
San Martín;Rioja;Rioja;Juan Simons Vela;Aeropuerto;SPJA;Regional;Operativo;CORPAC S.A.;Nacional;Pública;-6.067792;-77.159806
Amazonas;Rodríguez de Mendoza;Oscar R. Benavides;Rodríguez de Mendoza;Aeropuerto;SPLN;Regional;Operativo;CORPAC S.A.;Regional;Pública;-6.392617;-77.500589
Loreto;Loreto;Urarinas;San José de Saramuro - Estación 1;Helipuerto de superficie;SPSM;Información no disponible;Operativo;Petróleos del Perú - Petroperu S.A.;No aplica privados;Privada;-4.721556;-74.922444
Loreto;Datem Del Marañón;Barranca;San Lorenzo;Aeródromo;SPQM;Local;Operativo;Municipalidad Provincial de Datem del Marañón;Local;Pública;-4.82425;-76.56034722
Cusco;La Convención;Echarate;San Martín 1;Helipuerto de superficie;SPMT;Información no disponible;Operativo;Pluspetrol Perú Corporation S.A.;No aplica privados;Privada;-11.76754444;-72.77806111
Cusco;La Convención;Echarate;San Martín 3;Helipuerto de superficie;SPPS;Información no disponible;Operativo;Pluspetrol Perú Corporation S.A.;No aplica privados;Privada;-11.785528;-72.702139
Puno;Melgar;Antauta;San Rafael;Aeródromo;SPRF;Información no disponible;Operativo;Compañía Minsur S.A.;No aplica privados;Privada;-14.282194;-70.379694
San Martín;Huallaga;Saposoa;Saposoa;Aeródromo;SPOA;Local;Operativo;CORPAC S.A.;Regional;Pública;-6.959083;-76.768583
Loreto;Datem Del Marañón;Morona;Sargento Puño;Helipuerto de superficie;SPSP;Información no disponible;Operativo;Petróleos del Perú - Petroperu S.A.;No aplica privados;Privada;-3.220889;-77.603389
Arequipa;La Unión;Sayla;Sayla;Helipuerto de superficie;SPKY;Información no disponible;Operativo;Municipalidad Distrital de Sayla;Local;Pública;-15.322778;-73.2375
Ucayali;Atalaya;Sepahua;Sepahua;Aeródromo;SPSE;Local;Operativo;Municipalidad Distrital de Sepahua;Local;Pública;-11.142083;-73.034167
Loreto;Alto Amazonas;Yurimaguas;Shanusi;Aeródromo;SPSH;Información no disponible;Operativo;Palmas del Shanusi S.A.;No aplica privados;Privada;-6.128694;-76.169583
Tacna;Tacna;Tacna;Crnl. FAP. Carlos Ciriani Santa Rosa;Aeropuerto Internacional;SPTN;Internacional;Operativo;Aeropuertos Andinos del Perú S.A.;Nacional;Pública (Concesionada);-18.053286;-70.275822
Piura;Talara;Pariñas;Internacional Cap. FAP. Victor Montes Arias;Aeropuerto Internacional;SPYL;Internacional;Operativo;Aeropuertos del Perú S.A.;Nacional;Pública (Concesionada);-4.576611111;-81.25405833
San Martín;San Martín;Tarapoto;Cadete FAP. Guillermo del Castillo Paredes;Aeropuerto;SPST;Nacional;Operativo;Aeropuertos del Perú S.A.;Nacional;Pública (Concesionada);-6.508744;-76.373247
Huánuco;Leoncio Prado;Rupa Rupa;Tingo María;Aeropuerto;SPGM;Regional;Operativo;CORPAC S.A.;Nacional;Pública;-9.289375;-76.005042
San Martín;Tocache;Tocache;Tocache;Aeródromo;SPCH;Regional;Operativo;CORPAC S.A.;Regional;Pública;-8.195431;-76.528667
La Libertad;Trujillo;Huanchaco;Cap. Carlos Martinez de Pinillos;Aeropuerto Internacional;SPRU;Internacional;Operativo;Aeropuertos del Perú S.A.;Nacional;Pública (Concesionada);-8.081708;-79.108644
La Libertad;Santiago De Chuco;Mollebamba;Tulpo;Aeródromo;SPTO;Local;Operativo;Municipalidad Distrital de Mollebamba;Local;Pública;-8.127278;-77.988181
Tumbes;Tumbes;Tumbes;Cap. FAP. Pedro Canga Rodríguez;Aeropuerto;SPME;Nacional;Operativo;Aeropuertos del Perú S.A.;Nacional;Pública (Concesionada);-3.552264;-80.381069
La Libertad;Pataz;Urpay;Urpay;Aeródromo;SPAI;Local;Operativo;Municipalidad Distrital de Urpay;Local;Pública;-8.350369;-77.398094
Pasco;Pasco;Vicco;Vicco;Aeródromo;SPVI;Local;Operativo;Municipalidad Distrital de Vicco;Local;Pública;-10.848792;-76.246836
Ayacucho;Vilcashuaman;Vilcashuaman;Vilcashuamán;Aeródromo;SPVN;Local;Operativo;CORPAC S.A.;Local;Pública;-13.678194;-73.927083
Cusco;Espinar;Yauri;Yauri;Aeródromo;SPIY;Local;Operativo;Municipalidad Provincial de Espinar;Local;Pública;-14.80638889;-71.43194444
Loreto;Alto Amazonas;Yurimaguas;Moisés Benzaquén Rengifo;Aeropuerto;SPMS;Regional;Operativo;CORPAC S.A.;Nacional;Pública;-5.893611;-76.118056
Piura;Morropón;Chulucanas;Metropolitano de Piura;Aeródromo;SPAL;Información no disponible;Operativo;Aeroclub de Aviación Civil del Perú;No aplica privados;Privada;-5.067777778;-80.14748889
Cusco;La Convención;Echarate;HP-7 (REPSOL);Helipuerto de superficie;SPNE;Información no disponible;Operativo;Repsol Exploración Perú S.A. Sucursal del Perú;No aplica privados;Privada;-11.55194444;-73.14694444
Lima;Lima;Miraflores;Clínica Delgado;Helipuerto Elevado;SPCD;Información no disponible;Operativo;Medic Ser S.A.C.;No aplica privados;Privada;-12.11354167;-77.03319167
Ayacucho;La Mar;Santa Rosa;Luisiana;Aeródromo;SPLU;Información no disponible;Operativo;Sr. Guillermo Parodi Morales;No aplica privados;Privada;-12.67497222;-73.70955556
Lima;Lima;San Borja;Banco de La Nación;Helipuerto Elevado;SPBN;Información no disponible;Operativo;Banco de la Nación;No aplica privados;Pública;-12.08718611;-77.000675
Ucayali;Coronel Portillo;Yarinacocha;Cashibococha;Aeródromo;SPCB;Información no disponible;Operativo;South América Mission Inc. Filial del Perú;No aplica privados;Privada;-8.361944444;-74.65680556
Cusco;La Convención;Echarate;Sagari Ax;Helipuerto de superficie;SPSG;Información no disponible;Operativo;Repsol Exploración Perú S.A. Sucursal del Perú;No aplica privados;Privada;-11.46402198;-73.31293349
Cusco;La Convención;Echarate;Cashiriari 1;Helipuerto de superficie;SPCA;Información no disponible;Operativo;Pluspetrol Perú Corporation S.A.;No aplica privados;Privada;-11.87449436;-72.73405224
Ucayali;Coronel Portillo;Yarinacocha;Adventista MOP;Aeródromo;SPYC;Información no disponible;Operativo;Asociacion Proyectos Peru;No aplica privados;Privada;-8.340427778;-74.59791389
Cusco;La Convención;Echarate;HP-7 Las Malvinas;Helipuerto de superficie;SPWL;Información no disponible;Operativo;Pluspetrol Perú Corporation S.A.;No aplica privados;Privada;-11.84822778;-72.93883889
Tumbes;Contralmirante Villar;Canoas de Punta Sal;Walter Braedt Segu;Aeródromo;SPWB;Información no disponible;Operativo;MANCORALAND S.A.C.;No aplica privados;Privada;-4.086797222;-81.02558333
Lima;Lima;Miraflores;Crnl. PNP. Rodolfo León Gavilán;Helipuerto de superficie;SPPC;Información no disponible;Operativo;Municipalidad Distrital de Miraflores;No aplica privados;Pública;-12.11961111;-77.04608889
Lima;Cañete;Nuevo Cañete;Revalora;Aeródromo;SPRR;Información no disponible;Operativo;REVALORA S.A.C.;No aplica privados;Privada;-13.22304167;-76.26936667
Lima;Lima;Santiago de Surco;Voces por el Clima;Helipuerto de superficie;SPVC;Información no disponible;Operativo;Heli-Abad S.A.C.;No aplica privados;Privada;-12.15291667;-77.01139167
Lima;Lima;San Juan de Lurigancho;Canto Grande;Helipuerto de superficie;SPCG;Información no disponible;Operativo;Heli-Abad S.A.C.;No aplica privados;Privada;-11.95897222;-76.99916944
Lima;Lima;Santiago de Surco;Proyecto More;Helipuerto de superficie;SPPR;Información no disponible;Operativo;Inmobiliara Huanwil S.A.;No aplica privados;Privada;-12.08298611;-76.967425
Lima;Lima;Puente Piedra;Proyecto AFE;Helipuerto de superficie;SPAF;Información no disponible;Operativo;AFE SERVICE S.A.C.;No aplica privados;Privada;-11.82842222;-77.09428611
Lima;Lima;San Bartolo;Municipal de San Bartolo Alm. Raul Vargas Fuller;Helipuerto de superficie;SPRT;Información no disponible;Operativo;Fly Acces Peru S.A.C.;No aplica privados;Privada;-12.38044444;-76.78372222
Lima;Cañete;Asia;Boulevard Asia;Helipuerto de superficie;SPBA;Información no disponible;Operativo;Inversiones Castelar S.A.C.;No aplica privados;Privada;-12.76010556;-76.60331944
Ica;Chincha;Alto Laran;La Calera;Helipuerto de superficie;SPCE;Información no disponible;Operativo;Heli-Abad S.A.C.;No aplica privados;Privada;-13.4541;-76.02863611
Lambayeque;Lambayeque;Olmos;Olmos;Aeródromo;SPOL;Información no disponible;Operativo;Inversiones Agricolas Olmos II S.A.C.;No aplica privados;Privada;-6.016666667;-80.08840833
Ucayali;Coronel Portillo;Yarinacocha;Las Americas;Aeródromo;SPLA;Información no disponible;Operativo;José Luis Popolizio Bardales;No aplica privados;Privada;-8.317447222;-74.72666111
Ayacucho;Huamanga;Andres Avelino Caceres;Hospital Miguel Angel Mariscal Llerena de Ayacucho;Helipuerto Elevado;SPHA;Información no disponible;Operativo;Gobierno Regional de Ayacucho;Sin jerarquía;Pública;-13.162925;-74.20018889
Apurímac;Abancay;Carahuasi;Diospi Suyana;Helipuerto de superficie;SPDY;Información no disponible;Operativo;Asociación Civil Religiosa Diospi Suyana;No aplica privados;Privada;-13.54833333;-72.70972222
Lima;Lima;Santiago de Surco;Jockey Plaza Shoping Center;Helipuerto de superficie;SPJP;Información no disponible;Operativo;ECOCOPTER PERU S.A.;No aplica privados;Privada;-12.087225;-76.97660278
Ica;Ica;Pueblo Nuevo;La Portada;Helipuerto de superficie;SPPP;Información no disponible;Operativo;Heli-Abad S.A.C.;No aplica privados;Privada;-14.14417778;-75.64589167
La Libertad;Pacasmayo;Pacasmayo;Pacasmayo;Aeródromo;SPYO;Información no disponible;Operativo;Escuela Peruana de Aviación Civil S.A.;No aplica privados;Pública;-7.416425;-79.57021667
Loreto;Datem Del Marañón;Morona;Yankuntich;Aeródromo;SPYK;Información no disponible;Operativo;Federación de la Nacionalidad Achuar del Perú;Sin jerarquía;Pública;-2.922561111;-77.25788889
Loreto;Datem Del Marañón;Andoas;Wisum;Aeródromo;SPWR;Información no disponible;Operativo;Federación de la Nacionalidad Achuar del Perú;Sin jerarquía;Pública;-3.270952778;-77.02306944
Loreto;Requena;Puinahua;Bretaña;Helipuerto de superficie;SPBR;Información no disponible;Operativo;Petrotal Perú S.R.L.;No aplica privados;Privada;-5.245402778;-74.32930556
Apurímac;Cotabamba;Challhuahuacho;Helipuerto Unidad Minera Las Bambas;Helipuerto de superficie;SPMB;Información no disponible;Operativo;Minera Las Bambas S.A.;No aplica privados;Privada;-14.106639;-72.272306
