ID_DEPARTAMENTO;ID_PROVINCIA;ID_DISTRITO;LOCALIDAD;NOMBRE_TERMINAL;LABEL_TERMINAL;AMBITO;TIPO_TERMINAL;ALCANCE;USO;TRAFICO;ACTIVIDAD;ESTADO;TITULARIDAD;ADMINISTRADOR;LATITUD;LONGITUD
20;2007;200701;Talara;HIBRIDO MU2;TP MUELLE HIBRIDO MU2;Maritimo;Terminal Portuario (Muelle);Nacional;Privado;Hidrocarburos;Especializado;Operativo;Público;PETROPERÚ S.A.;-4.573572;-81.279481
20;2007;200701;Talara;MC DONALD;EMBARCADERO MUELLE MC DONALD;Marítimo;Embarcadero;Regional;Privado;General;Multipropósito;Operativo;Privado;SAVIA PERÚ S.A.;-4.572097;-81.275295
20;2007;200701;Talara;PARCELA 25;EMBARCADERO MUELLE PARCELA 25;Marítimo;Embarcadero;Regional;Privado;General;Multipropósito;Operativo;Privado;SAVIA PERÚ S.A.;-4.56777;-81.276793
20;2007;200701;Punta Arenas;PUNTA ARENAS;TP MULTIBOYAS PUNTA ARENAS;Marítimo;Terminal Portuario (Multiboyas);Nacional;Privado;Hidrocarburos;Especializado;Operativo;Público;PETROPERÚ S.A.;-4.58382;-81.302488
20;2007;200701;Talara;REFINERÍA TALARA;TP REFINERÍA TALARA;Marítimo;Terminal Portuario (Muelle);Nacional;Privado;Hidrocarburos;Especializado;Operativo;Público;PETROPERÚ S.A.;-4.573965;-81.282724
20;2007;200703;Negritos;LA BREA Y NEGRITOS;TP MULTIBOYAS LA BREA Y NEGRITOS;Marítimo;Terminal Multiboyas;Regional;Privado;Hidrocarburos;Especializado;Operativo;Privado;SAVIA PERÚ S.A.;-4.646493;-81.324586
20;2008;200801;Bayóvar;BAYOVAR (EX JUAN PABLO QUAY);TP PUERTO DE BAYÓVAR;Marítimo;Terminal Portuario (Muelle);Nacional;Privado;Minerales;Especializado;Operativo;Privado;PUERTO BAYÓVAR S.A.C.;-5.816187;-81.040915
20;2008;200801;Bayóvar;MISKY MAYO;TP MISKY MAYO;Marítimo;Terminal Portuario (Muelle);Nacional;Privado;Minerales;Especializado;Operativo;Privado;COMPAÑÍA MINERA MISKI MAYO S.R.L.;-5.800997;-81.047936
20;2008;200801;Bayóvar;PETROPERÚ - BAYÓVAR;TP PETROPERÚ - BAYÓVAR;Marítimo;Terminal Portuario (Muelle);Nacional;Privado;Hidrocarburos;Especializado;Operativo;Público;PETROPERÚ S.A.;-5.795624;-81.055302
20;2008;200805;San Pedro;SAN PEDRO 1;TP MULTIBOYAS SAN PEDRO 1;Marítimo;Terminal Multiboyas;Nacional;Privado;Hidrocarburos;Especializado;Operativo;Privado;SAVIA PERÚ S.A.;-5.587167;-81.092833
21;2101;210101;Puno;FERROVÌAS - PUNO;TP FERROVIAS - PUNO;Lacustre;Embarcadero;Regional;Público;General;Multipropósito;Operativo;Privado;FERROVÍAS S.A.;-15.836433;-70.014939
21;2101;210101;Puno;PUNO;TP PUNO;Lacustre;Embarcadero;Regional;Público;General;Multipropósito;Operativo;Público;GOBIERNO REGIONAL DE PUNO;-15.835167;-70.014542
21;2104;210401;Juli;JULI;TP JULI;Lacustre;Embarcadero;Regional;Público;General;Multipropósito;Operativo;Público;MUNICIPALIDAD PROVINCIAL DE JULI;-16.201641;-69.461195
24;2402;240201;Zorritos;BPZ ALBACORA;TP MULTIBOYAS BPZ ALBACORA;Marítimo;Terminal Portuario (Multiboyas);Regional;Privado;Hidrocarburos;Especializado;Operativo;Privado;BPZ EXPLORACIÓN & PRODUCCIÓN SRL;-3.576136;-80.709994
24;2402;240201;Zorritos;BPZ CORVINA;TP MULTIBOYAS BPZ CORVINA;Marítimo;Terminal Portuario (Multiboyas);Regional;Privado;Hidrocarburos;Especializado;Operativo;Privado;BPZ EXPLORACIÓN & PRODUCCIÓN SRL;-3.591922;-80.745161
25;2501;250107;Pucallpa;ALPICARGO;EMBARCADERO ALPICARGO SAC;Fluvial;Embarcadero;Regional;Publico;General;Multipropósito;Operativo;Privado;ALPI CARGO S.A.C;-8.380102;-74.524097
25;2501;250107;Pucallpa;LOGÍSTICA PERUANA DEL ORIENTE PUCALLPA;TP LOGÍSTICA PERUANA DEL ORIENTE DE PUCALLPA;Fluvial;Terminal Portuario (Muelle);Nacional;Público;General;Multipropósito;Operativo;Privado;LOGISTICA PERUANA DEL ORIENTE S.A.;-8.382419;-74.525686
25;2501;250107;Pucallpa;MAPLE - PUCALLPA;TP MAPLE - PUCALLPA;Fluvial;Embarcadero;Regional;Privado;Hidrocarburos;Especializado;Operativo;Privado;THE MAPLE GAS CORPORATION DEL PERÚ S.R.L.;-8.390285;-74.528889
25;2501;250107;Pucallpillo;MAPLE - PUCALLPILLO;TP MAPLE - PUCALLPILLO;Fluvial;Embarcadero;Regional;Privado;Hidrocarburos;Especializado;Operativo;Privado;THE MAPLE GAS CORPORATION DEL PERÚ S.R.L.;-8.453394;-74.506122
25;2501;250107;Pucallpa;TERRANOVA;TP TERRANOVA;Fluvial;Embarcadero;Regional;Publico;General;Especializado;Operativo;Privado;TERRANOVA E.I.R.L.;-8.383761;-74.522818
25;2501;250107;Pucallpa;TRANSTOTAL LOGÍSTICA SELVA S.A;TP TRANSTOTAL LOGÍSTICA SELVA;Fluvial;Embarcadero;Regional;Público;General;Multipropósito;Operativo;Privado;TRANSTOTAL LOGÍSTICA SELVA S.A.;-8.381209;-74.525551
25;2501;250107;Pucallpa;Logística Peruana del Oriente de Pucallpa;TP LPO;Fluvial;Terminal Portuario (Muelle);Nacional;Público;General;Multipropósito;Operativo;Privado;LOGISTICA PERUANA DEL ORIENTE S.A.;-8.382419;-74.525686
20;2007;200701;Talara;Muelle Hibrido MU2;TP Muelle Hibrido MU2;Marítimo;Terminal Portuario (Muelle);Nacional;Privado;Hidrocarburos;Especializado;Operativo;Público;PETROPERÚ S.A.;-4.574286;-81.279124
07;0701;070101;Callao;Muelle de Capitanes;Embarcadero Muelle de Capitanes;Marítimo;Embarcadero;Regional;Público;Pasajeros;Especializado;Operativo;Público;ESTADO PERUANO;-12.058126;-77.14973
11;1103;110304;Acari;Multiboyas Mina Justa;TP Multiboyas Mina Justa;Marítimo;Terminal Portuario (Multiboyas);Nacional;Privado;Ácido Sulfúrico;Especializado;Operativo;Privado;MARCOBRE S.A.C;-15.339069;-75.173676
16;1604;160403;Islandia;Islandia;Embarcadero Islandia;Fluvial;Embarcadero;Regional;Público;General;Multipropósito;Operativo;Público;MUNICIPALIDAD DISTRITAL DE YARAVI;-4.373197;-70.026056
16;1608;160801;Santa Mercedes;Santa Mercedes;Embarcadero Santa Mercedes;Fluvial;Embarcadero;Regional;Público;General;Multipropósito;Operativo;Público;MUNICIPALIDAD DISTRITAL DE PUTUMAYO;-1.787951;-73.412308
16;1608;160803;Soplin Vargas;Soplín Vargas;Embarcadero Soplín Vargas;Fluvial;Embarcadero;Regional;Público;General;Multipropósito;Operativo;Público;MUNICIPALIDAD DISTRITAL DE TENIENTE MANUEL CLAVERO;-0.372338;-74.674665
16;1608;160803;Nueva Angusilla;Nueva Angusilla;Embarcadero Nueva Angusilla;Fluvial;Embarcadero;Regional;Público;General;Multipropósito;Operativo;Público;MUNICIPALIDAD DISTRITAL DE TENIENTE MANUEL CLAVERO;-0.8984;-74.310492
16;1601;160108;Iquitos;Turístico de Iquitos - El Huequito;Embarcadero Turístico de Iquitos - El Huequito;Fluvial;Embarcadero;Regional;Público;Pasajeros (turistas);Especializado;Operativo;Público;GOBIERNO REGIONAL DE LORETO;-3.740056;-73.240665
20;2005;200501;Paita;Estación Naval de Paita;Establecimiento Pesquero Industrial Estación Naval de Paita;Marítimo;Terminal Pesquero (Muelle);Nacional;Privado;-;Especializado;Operativo;Privado;MARINA DE GUERRA DEL PERÚ;-5.074656;-81.122097
04;0407;040701;Mollendo;Multiboyas Monte Azul;TP Multiboyas Monte Azul;Marítimo;Terminal Portuario (Multiboyas);Nacional;Privado;Hidrocarburos;Especializado;Operativo;Privado;MONTE AZUL LOGÍSTICA S.A.C;-17.043903;-72.001541
16;1604;160403;Santa Rosa;Santa Rosa;Embarcadero Santa Rosa;Fluvial;Embarcadero;Regional;Público;Pasajeros;Especializado;Operativo;Privado;Consorcio TP Santa Rosa;-4.219705;-69.954226
16;1601;160108;Iquitos;COMANA S.A.C;Embarcadero Fluvial COMANA S.A.C;Fluvial;Embarcadero;Regional;Privado;Madera;Especializado;Operativo;Privado;COMPLEJO MADERERO NANAY SAC;-3.638577;-73.220079
02;0218;021808;Chimbote;Pesquero Austral - Coishco;Terminal Pesquero Austral - Coishco;Marítimo;Terminal Pesquero (Muelle);Nacional;Privado;-;Especializado;Operativo;Privado;AUSTRAL GROUP S.A.A.;-9.020787;-78.622498
04;0407;040704;Matarani;Matarani;TP Matarani;Marítimo;Terminal Portuario (Muelle);Nacional;Público;Multipropósito;Multipropósito;Operativo;Público (Concesionado);TERMINAL INTERNACIONAL DEL SUR S.A.;-16.999169;-72.105933
20;2007;200703;Negritos;La Brea y Negritos;TP Multiboyas La Brea y Negritos;Marítimo;Terminal Portuario (Multiboyas);Regional;Privado;Hidrocarburos;Especializado;Operativo;Privado;SAVIA PERÚ S.A.;-4.646493;-81.324586
15;1508;150801;Huacho;Huacho;TP Huacho;Marítimo;Terminal Portuario;Regional;Público;General;Multipropósito;Operativo;Público;ENAPU S.A.;-11.117727;-77.616724
20;2008;200801;Bayóvar;Petroperú - Bayóvar;TP Petroperú - Bayóvar;Marítimo;Terminal Portuario (Muelle);Nacional;Privado;Hidrocarburos;Especializado;Operativo;Público;PETROPERÚ S.A.;-5.795624;-81.055302
02;0218;021807;Santa;Casamar;Terminal Pesquero Casamar;Marítimo;Terminal Pesquero (Muelle);Nacional;Privado;-;Especializado;Operativo;Privado;CASAMAR S.A.C.;-9.255625;-78.497497
07;0701;070101;Callao;Callao (Terminal de Contenedores Muelle Sur);TP Callao (Terminal de Contenedores Muelle Sur);Marítimo;Terminal Portuario (Muelle);Nacional;Público;Contenedores;Especializado;Operativo;Público (Concesionado);DP WORLD CALLAO S.R.L.;-12.056375;-77.148605
11;1105;110505;Paracas;General San Martín;TP General San Martín;Marítimo;Terminal Portuario (Muelle);Nacional;Público;Multipropósito;Multipropósito;Operativo;Público (Concesionado);TERMINAL PORTUARIO PARACAS S.A.;-13.803056;-76.291667
11;1103;110304;San Nicolás;Shougang Hierro Perú;TP Shougang Hierro Perú;Marítimo;Terminal Portuario (Muelle);Nacional;Privado;Minerales;Especializado;Operativo;Privado;SHOUGANG HIERRO PERÚ S.A.A.;-15.254444;-75.241667
16;1605;160501;Requena;Requena;TP Requena;Fluvial;Embarcadero;Regional;Público;General;Multipropósito;Operativo;Público;MUNICIPALIDAD PROVINCIAL DE REQUENA;-5.041397;-73.840519
16;1602;160201;Yurimaguas;Petroperú - Yurimaguas;TP Petroperú - Yurimaguas;Fluvial;Terminal Portuario (Muelle Flotante);Nacional;Privado;Hidrocarburos;Especializado;Operativo;Público;PETROPERÚ S.A.;-5.884866;-76.106775
16;1608;160803;Tres Fronteras;Tres Fronteras;Embarcadero Tres Fronteras;Fluvial;Embarcadero;Regional;Público;General;Multipropósito;Operativo;Público;MUNICIPALIDAD DISTRITAL DE TENIENTE MANUEL CLAVERO;-0.09495;-75.230633
16;1601;160110;Cabo Pantoja;Cabo Pantoja;Embarcadero Cabo Pantoja;Fluvial;Embarcadero;Regional;Público;General;Multipropósito;Operativo;Público;GOBIERNO REGIONAL DE LORETO;-0.966758;-75.174291
15;1502;150205;Supe;Supe;TP Supe;Marítimo;Terminal Portuario;Regional;Público;General;Multipropósito;Operativo;Público;ENAPU S.A.;-10.795381;-77.747097
20;2005;200501;Paita;Paita;TP Paita;Marítimo;Terminal Portuario (Muelle);Nacional;Público;General;Multipropósito;Operativo;Público (Concesionado);TP EUROANDINOS PAITA S.A.;-5.082921;-81.105268
20;2005;200501;Paita;Multiboyas Penta Tanks Terminals;TP Multiboyas Paita - Penta Tanks Terminals;Marítimo;Terminal Portuario (Multiboyas);Nacional;Privado;Hidrocarburos;Especializado;Operativo;Privado;PENTA TANKS TERMINALS S.A.;-5.077604;-81.084692
13;1301;130109;Salaverry;Multipropósito de Salaverry;TP Multipropósito de Salaverry;Marítimo;Terminal Portuario (Muelle);Nacional;Público;General;Multipropósito;Operativo;Público (Concesionado);SALAVERRY TERMINAL INTERNACIONAL S.A.;-8.226123;-78.982365
02;0218;021801;Chimbote;Chimbote;TP Chimbote;Marítimo;Terminal Portuario (Muelle);Regional;Público;General;Multipropósito;Operativo;Público;GOBIERNO REGIONAL DE ANCASH;-9.074414;-78.610495
18;1803;180301;Ilo;Ilo;TP Ilo;Marítimo;Terminal Portuario (Muelle);Nacional;Público;Multipropósito;Multipropósito;Operativo;Público;ENAPU S.A.;-17.644625;-71.34835
17;1701;170101;Puerto Maldonado;Puerto Maldonado;TP de Puerto Maldonado;Fluvial;Embarcadero;Regional;Público;General;Multipropósito;Operativo;Público;Gobierno Regional de Madre de Dios;-12.592482;-69.174551
16;1604;160402;Pebas;Pebas;Embarcadero Pebas;Fluvial;Embarcadero;Regional;Público;General;Multipropósito;Operativo;Público;MUNICIPALIDAD DISTRITAL DE PEBAS;-3.324921;-71.849393
16;1607;160703;Saramiriza;Petroperù - Saramiriza (Estación 5);TP Petroperù - Saramiriza (Estación 5);Fluvial;Terminal Portuario (Embarcadero);Regional;Privado;Hidrocarburos;Especializado;Operativo;Público;PETROPERÚ S.A.;-4.565405;-77.412695
16;1606;160601;Contamana;Contamana;Embarcadero Contamana;Fluvial;Embarcadero;Regional;Público;General;Multipropósito;Operativo;Público;GOBIERNO REGIONAL DE LORETO;-7.354952;-75.004553
21;2101;210101;Puno;Puno;TP Puno;Lacustre;Embarcadero;Regional;Público;General;Multipropósito;Operativo;Público;GOBIERNO REGIONAL DE PUNO;-15.835167;-70.014542
15;1501;150119;Lurín;Unión Andina de Cementos;TP Unión Andina de Cementos;Marítimo;Terminal Portuario (Muelle);Nacional;Privado;Granel sólido;Especializado;Operativo;Privado;UNIÓN ANDINA DE CEMENTOS S.A.A;-12.252882;-76.938825
04;0403;040303;Atico;Ático;TP Muelle Ático;Marítimo;Terminal Portuario;Regional;Privado;Harina de pescado;Especializado;Operativo;Privado;TECNOLOGÍA DE ALIMENTOS S.A.;-16.226537;-73.695821
16;1601;160106;Mazán;Mazán;Embarcadero Mazán;Fluvial;Embarcadero;Regional;Público;General;Multipropósito;Operativo;Público;GOBIERNO REGIONAL DE LORETO;-3.491524;-73.092996
07;0701;070101;Ventanilla;Multiboyas Zeta Gas Andino;TP Multiboyas Zeta Gas Andino;Marítimo;Terminal Portuario (Multiboyas);Nacional;Privado;Gas Licuado de Petroleo (GLP);Especializado;Operativo;Privado;ZETA GAS ANDINO S.A.;-11.988575;-77.159648
04;0407;040701;Mollendo;Multiboyas Mollendo;TP Multiboyas Mollendo;Marítimo;Terminal Portuario (Multiboyas);Nacional;Privado;Hidrocarburos;Especializado;Operativo;Público;PETROPERÚ S.A.;-17.039991;-72.006481
18;1803;180303;Ilo;Southern Perú;TP Southern Perú;Marítimo;Terminal Portuario (Muelle);Nacional;Privado;Multipropósito;Multipropósito;Operativo;Privado;SOUTHERN PERÚ COPPER CORPORATION SUCURSAL DEL PERÚ;-17.65;-71.349974
16;1607;160706;Andoas;Petroperú - Andoas;TP Petroperú - Andoas;Fluvial;Terminal Portuario (Muelle Flotante);Regional;Privado;Hidrocarburos;Especializado;Operativo;Público;PETROPERÚ S.A.;-2.804711;-76.45618
15;1502;150202;Paramonga;Multiboyas Quimpac - Paramonga;TP Multiboyas Quimpac - Paramonga;Marítimo;Terminal Portuario (Multiboyas);Regional;Privado;Químicos;Especializado;Operativo;Privado;QUIMPAC S.A.;-10.676995;-77.834807
07;0701;070106;Ventanilla;Multiboyas Refinería Repsol - La Pampilla;TP Multiboyas Refinería Repsol - La Pampilla;Marítimo;Terminal Portuario (Multiboyas);Nacional;Privado;Hidrocarburos;Especializado;Operativo;Privado;REFINERIA LA PAMPILLA S.A.;-11.917313;-77.16177
99;9999;999999;Arica;Muelle al Servicio del Perú en Arica;TP MAPS Arica;Marítimo;Terminal Portuario (Muelle);Nacional;Público;General;Multipropósito;Operativo;Público;ENAPU S.A.;-18.46543;-70.323806
20;2007;200701;Punta Arenas;Multiboyas Punta Arenas;TP Multiboyas Punta Arenas;Marítimo;Terminal Portuario (Multiboyas);Nacional;Privado;Hidrocarburos;Especializado;Operativo;Público;PETROPERÚ S.A.;-4.583056;-81.318056
14;1401;140104;Eten;Multiboyas Eten;TP Multiboyas Eten;Marítimo;Terminal Portuario (Multiboyas);Regional;Privado;Hidrocarburos;Especializado;Operativo;Privado;TERMINALES DEL PERÚ;-6.966771;-79.861059
13;1301;130109;Salaverry;Multiboyas Salaverry;TP Multiboyas Salaverry;Marítimo;Terminal Portuario (Multiboyas);Nacional;Privado;Hidrocarburos;Especializado;Operativo;Privado;TERMINALES DEL PERÚ;-8.216097;-78.991793
02;0211;021101;Huarmey;Punta Lobitos - Antamina;TP Punta Lobitos - Antamina;Marítimo;Terminal Portuario (Muelle);Regional;Privado;Minerales;Especializado;Operativo;Privado;CIA. MINERA ANTAMINA S.A.;-10.099826;-78.180808
15;1502;150205;Supe;Multiboyas Supe;TP Multiboyas Supe;Marítimo;Terminal Portuario (Multiboyas);Regional;Privado;Hidrocarburos;Especializado;Operativo;Privado;TERMINALES DEL PERÚ;-10.796035;-77.746992
15;1501;150142;Lurín;Multiboyas Conchán;TP Multiboyas Conchán;Marítimo;Terminal Portuario (Multiboyas);Nacional;Privado;Hidrocarburos;Especializado;Operativo;Público;PETROPERÚ S.A.;-12.259776;-76.931205
16;1601;160108;Iquitos;Petroperú - Iquitos;TP Petroperú - Iquitos;Fluvial;Terminal Portuario (Muelle Flotante);Nacional;Privado;Hidrocarburos;Especializado;Operativo;Público;PETROPERÚ S.A.;-3.634;-73.203
20;2008;200801;Bayóvar;Bayóvar (Ex Juan Pablo Quay);TP Puerto de Bayóvar;Marítimo;Terminal Portuario (Muelle);Nacional;Privado;Minerales;Especializado;Operativo;Privado;PUERTO BAYÓVAR S.A.C.;-5.816187;-81.040915
13;1302;130206;Andrés Rázuri;Chicama (Malabrigo);TP Chicama;Marítimo;Terminal Portuario;Regional;Público;General;Multipropósito;Operativo;Público;GOBIERNO REGIONAL DE LA LIBERTAD;-7.689106;-79.442057
11;1105;110501;Pisco;Pluspetrol - Pisco;TP Pluspetrol - Pisco;Marítimo;Terminal Portuario (Muelle Dolphin);Nacional;Privado;Hidrocarburos;Especializado;Operativo;Privado;PLUSPETROL PERU CORPORATION S.A.;-13.768114;-76.265108
11;1105;110501;Pisco;Multiboyas Pisco;TP Multiboyas Pisco;Marítimo;Terminal Portuario (Multiboyas);Nacional;Privado;Hidrocarburos;Especializado;Operativo;Público;PETROPERÚ S.A.;-13.747462;-76.228457
15;1502;150205;Supe;Multiboyas Colpex - Supe;TP Multiboyas Colpex - Supe;Marítimo;Terminal Portuario (Multiboyas);Regional;Privado;Aceite de pescado;Especializado;Operativo;Privado;COLPEX INTERNATIONAL S.A.C.;-10.797864;-77.745623
02;0218;021801;Chimbote;Muelle Siderperú;TP Muelle Siderperú;Marítimo;Terminal Portuario (Muelle);Regional;Privado;Minerales;Especializado;Operativo;Público;SIDERPERU S.A.;-9.077477;-78.610528
07;0701;070101;Ventanilla;Multiboyas Solgas - Ventanilla;TP Multiboyas Solgas - Ventanilla;Marítimo;Terminal Portuario (Multiboyas);Nacional;Privado;Gas Licuado de Petroleo (GLP);Especializado;Operativo;Privado;SOLGAS S.A.;-11.938233;-77.169762
07;0701;070101;Ventanilla;Multiboyas Quimpac - Oquendo;TP Multiboyas Quimpac - Oquendo;Marítimo;Terminal Portuario (Multiboyas);Nacional;Privado;Químicos;Especializado;Operativo;Privado;QUIMPAC S.A.;-11.973016;-77.156383
07;0701;070101;Ventanilla;Multiboyas TRALSA;TP Multiboyas TRALSA;Marítimo;Terminal Portuario (Multiboyas);Nacional;Privado;Químicos;Especializado;Operativo;Privado;TRALSA S.A.;-11.968273;-77.154053
07;0701;070101;Ventanilla;Multiboyas Sudamericana de Fibras;TP Multiboyas Sudamericana de Fibras;Marítimo;Terminal Portuario (Multiboyas);Nacional;Privado;Químicos;Especializado;Operativo;Privado;SUDAMERICANA DE FIBRAS S.A.;-11.981781;-77.156719
18;1803;180301;Ilo;Multiboyas Ilo;TP Multiboyas Ilo;Marítimo;Terminal Portuario (Multiboyas);Nacional;Privado;Hidrocarburos;Especializado;Operativo;Público;PETROPERÚ S.A.;-17.634989;-71.343799
18;1803;180301;Ilo;ENGIE;TP ENGIE;Marítimo;Terminal Portuario (Muelle);Nacional;Privado;Minerales;Especializado;Operativo;Privado;ENGIE ENERGÍA PERÚ S.A.;-17.773364;-71.19049
18;1803;180301;Cata Cata;Multiboyas TLT;TP Multiboyas TLT;Marítimo;Terminal Portuario (Multiboyas);Nacional;Privado;Granel líquido;Especializado;Operativo;Privado;TRABAJOS MARÍTIMOS S.A;-17.67141;-71.367689
07;0701;070101;Callao;Multiboyas Valero Perú S.A.C;TP Multiboyas Valero Perú S.A.C;Marítimo;Terminal Portuario (Multiboyas);Nacional;Privado;Bio Diesel;Especializado;Operativo;Privado;VALERO PERÚ S.A.C.;-11.954117;-77.148318
02;0218;021801;Chimbote;Multiboyas Chimbote;TP Multiboyas Chimbote;Marítimo;Terminal Portuario (Multiboyas);Regional;Privado;Hidrocarburos;Especializado;Operativo;Privado;TERMINALES DEL PERÚ;-9.112037;-78.576418
